Species,Order,Suborder,Family,Genus,Description author/s,Description year,Subspecies ,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Mean Annual Temperature (°C),Temperature Seasonality (standard deviation*100),Seasonality Precipitation (coefficient of variation × 100),Insular/endemic (yes or no),Venomous (yes or no),Diet ,Diet: comments,Active time,Dorsal colour,Dorsal pattern,Foraging mode,Pupil Shape,Fangs,Maximum Longevity (years),Maximum body mass (g),"Maximum total length (""TL"", mm)","Maximum length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Sex-determining mechanism (GSD or TSD),Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb,Genetic data (yes or not),IUCN redlist assessment,IUCN population trend
Chrysopelea taprobanica,Squamata,Serpentes,Colubridae,Chrysopelea,Smith,1943,No,Oriental,Arboreal,Forest,86,1740,NA,NA,0.5,No,Yes,Carnivorous,"Amphibians, reptiles ",Diurnal,Black/Brown,Banded/blotched,NA,round (or oval),rear-fanged,16.10,117.2,1000,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Decreasing
Claudius angustatus,Testudines,Testudines,Kinosternidae,Claudius,Cope,1865,No,Neotropic,Arboreal/Saxicolous/Terrestrial,Wetlands,NA,NA,24.52,181.03,NA,No,No,Carnivorous,Invertebrates,Cathemeral,Brown,Blotched,ACT,round (or oval),non-fanged,16.1,733.0,NA,165,NA,NA,NA,3.5,oviparous,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Near Threatened ,Unspecified
Clelia clelia,Squamata,Serpentes,Colubridae,Clelia,Daudin,1803,"Clelia clelia clelia (DAUDIN 1803)
Clelia clelia groomei GREER 1965",Neotropic,Terrestrial,Forest,0,2500,23.1,138.9,0.4,No,Yes,NA,NA,Nocturnal,NA,NA,NA,slit (or vertical elliptical),rear-fanged,11.5,1722.6,2500,1640.7,NA,NA,NA,NA,oviparous,GSD (ZW/ZZ),19.0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Clelia equatoriana,Squamata,Serpentes,Colubridae,Clelia,Amaral,1924,No,Neotropic,Terrestrial,Forest,1120,2210,NA,NA,0.4,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,533.7,2240,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Clelia errabunda,Squamata,Serpentes,Colubridae,Clelia,Underwood,1993,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,664.1,1660,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Extinct,NA
Clelia hussami,Squamata,Serpentes,Colubridae,Clelia,"Morato, Franco & Sanches",2003,No,Neotropic,Terrestrial,Forest/Savanna,NA,NA,NA,NA,0.1,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,205.0,1080,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Clelia langeri,Squamata,Serpentes,Colubridae,Clelia,Reichle & Embert,2005,No,Neotropic,NA,Forest,900,1500,NA,NA,0.4,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,324.9,1295,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Decreasing
Clelia plumbea,Squamata,Serpentes,Colubridae,Clelia,Wied-Neuwied,1820,No,Neotropic,Terrestrial,Forest/Savanna,NA,NA,NA,NA,0.2,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,1875.0,2585,1401,NA,NA,NA,NA,oviparous,GSD (ZW/ZZ),NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Clelia scytalina,Squamata,Serpentes,Colubridae,Clelia,Cope,1867,No,Neotropic,Terrestrial,Forest,0,1200,NA,NA,0.4,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,30.00,555.5,1600,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,No,Least Concern,Stable
Clemmys guttata,Testudines,Testudines,Emydidae,Clemmys,Schneider,1792,No,Nearctic,Aquatic,Forest/Wetlands,NA,NA,11.50,841.42,NA,No,No,Omnivorous,"Invertebrates, plants",Cathemeral,Black,Blotched,ACT,round (or oval),non-fanged,110.0,305.0,NA,120,NA,NA,NA,6.6,oviparous,TSD,4.3,NA,NA,NA,NA,NA,25.0,24.7,25.4,Yes,Endangered,Decreasing
Clonophis kirtlandii,Squamata,Serpentes,Colubridae,Clonophis,Kennicott,1856,No,Nearctic,Semi-Aquatic,Forest/Grassland/Wetlands,90,670,11.4,919.6,0.1,No,No,NA,NA,Cathemeral,NA,NA,NA,NA,rear-fanged,8.4,59.1,622,NA,NA,NA,NA,NA,viviparous,NA,8.0,NA,NA,NA,No,No,NA,NA,NA,Yes,Near Threatened,Decreasing
Cnemaspis aaronbaueri,Squamata,Sauria,Gekkonidae,Cnemaspis,"Sayyed, Grismer, Campbell & Dileepkumar",2019,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis aceh,Squamata,Sauria,Gekkonidae,Cnemaspis,"Iskandar, Mcguire & Amarasinghe",2017,No,Oriental,Arboreal,Forest,NA,NA,NA,NA,11.23,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.7,NA,30.7,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Cnemaspis adangrawi,Squamata,Sauria,Gekkonidae,Cnemaspis,"Ampai, Rujirawan, Wood, Stuart & Aowphol",2019,No,Oriental,Arboreal/Saxicolous,NA,0,90,NA,NA,18.02,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,2.1,NA,NA,NA,NA,NA,NA,oviparous,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis adii,Squamata,Sauria,Gekkonidae,Cnemaspis,"Srinivasulu, Kumar & Srinivasulu",2015,No,Oriental,Saxicolous,Rocky,460,470,NA,NA,27.48,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,1.0,NA,34.9,31.7,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Decreasing
Cnemaspis affinis,Squamata,Sauria,Gekkonidae,Cnemaspis,Stoliczka,1870,No,Oriental,Saxicolous,Forest,510,1200,NA,NA,17.91,Yes,No,Carnivorous,Arthropods (Das 2010),Diurnal,NA,NA,NA,NA,non-fanged,NA,3.0,NA,50.8,NA,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unknown
Cnemaspis agarwali,Squamata,Sauria,Gekkonidae,Cnemaspis,Khandekar,2019,No,Oriental,Saxicolous,Forest,0,2000,NA,NA,21.26,No,No,Carnivorous,"Arthropods (e.g., Loveridge 1936)",Cathemeral,NA,NA,NA,NA,non-fanged,NA,4.9,NA,61,49.5,NA,19,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Cnemaspis agayagangai,Squamata,Sauria,Gekkonidae,Cnemaspis,"Agarwal, Thackeray & Khandekar",2022,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis ajijae,Squamata,Sauria,Gekkonidae,Cnemaspis,"Sayyed, Pyron & Dileepkumar",2018,No,Oriental,Arboreal,Forest,NA,NA,NA,NA,19.66,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.1,NA,NA,NA,NA,NA,NA,oviparous,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Cnemaspis alwisi,Squamata,Sauria,Gekkonidae,Cnemaspis,Mendis Wickramasinghe & Munindradasa,2007,No,Oriental,Saxicolous,Forest,150,160,NA,NA,20.67,Yes,No,Carnivorous,insects (de SilvaAnd Ukuwela 2017),Diurnal,NA,NA,NA,NA,non-fanged,NA,1.5,NA,39.9,37.8,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Unknown
Cnemaspis amba,Squamata,Sauria,Gekkonidae,Cnemaspis,"Khandekar, Thackeray & Agarwal",2019,No,Oriental,Arboreal/Saxicolous,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis amboliensis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Sayyed, Pyron & Dileepkumar",2018,No,Oriental,Arboreal/Saxicolous,Forest,730,740,NA,NA,20.71,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.8,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis amith,Squamata,Sauria,Gekkonidae,Cnemaspis,"Manamendra-Arachchi, Batuwita & Pethiyagoda",2007,No,Oriental,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.9,NA,33,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis anamudiensis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Cyriac, Johny, Umesh & Palot",2018,No,Oriental,Saxicolous,Forest/Wetlands,1680,1900,NA,NA,16.00,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,4.3,NA,61,58,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Cnemaspis anandani,Squamata,Sauria,Gekkonidae,Cnemaspis,"Murthy, Nitesh, Sengupta & Deepak",2019,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Cnemaspis andalas,Squamata,Sauria,Gekkonidae,Cnemaspis,"Iskandar, Mcguire & Amarasinghe",2017,No,Oriental,Arboreal/Saxicolous,Forest,290,780,NA,NA,13.86,Yes,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,1.0,NA,33.8,30.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Cnemaspis andersonii,Squamata,Sauria,Gekkonidae,Cnemaspis,Annandale,1905,No,Oriental,Arboreal,NA,NA,NA,NA,NA,18.54,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.9,NA,33,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis anslemi,Squamata,Sauria,Gekkonidae,Cnemaspis,Karunarathna & Ukuwela,2019,No,Oriental,Arboreal,Forest,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Vulnerable,Unknown
Cnemaspis argus,Squamata,Sauria,Gekkonidae,Cnemaspis,Dring,1979,No,Oriental,Saxicolous,Forest/Rocky,40,790,NA,NA,15.92,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,6.0,NA,66,62,NA,NA,NA,oviparous,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis assamensis,Squamata,Sauria,Gekkonidae,Cnemaspis,Das & Sengupta,2000,No,Oriental,Arboreal/Saxicolous,Forest/Grassland/Rocky,50,500,NA,NA,19.51,No,No,Carnivorous,arthropods (Ahmed etAl. 2009),Diurnal,NA,NA,NA,NA,non-fanged,NA,0.9,NA,33.2,33.2,NA,17.2,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,No,Vulnerable,Unknown
Cnemaspis aurantiacopes,Squamata,Sauria,Gekkonidae,Cnemaspis,Grismer & Ngo,2007,No,Oriental,Saxicolous,Caves/Forest/Subterranean,30,100,NA,NA,15.77,No,No,NA,NA,Nocturnal,NA,NA,NA,NA,non-fanged,NA,4.4,NA,58.4,54.3,NA,NA,NA,oviparous,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Cnemaspis auriventralis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Rujirawan, Yodthong, Ampai, Termprayooon, Aksornneam, Stuart & Aowphol",2022,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis australis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Manamendra-Arachchi, Batuwita & Pethiyagoda",2007,No,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,19.73,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.7,NA,30.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis avasabinae,Squamata,Sauria,Gekkonidae,Cnemaspis,"Agarwal, Bauer & Khandekar",2020,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis azhagu,Squamata,Sauria,Gekkonidae,Cnemaspis,"Khandekar, Thackeray, & Agarwal",2022,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis balerion,Squamata,Sauria,Gekkonidae,Cnemaspis,"Pal, Mirza, Dsouza & Shanker",2021,No,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis bangara,Squamata,Sauria,Gekkonidae,Cnemaspis,"Agarwal, Thackeray, Pal & Khandekar",2020,No,Oriental,Saxicolous,Forest,NA,NA,NA,NA,19.04,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.7,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis baueri,Squamata,Sauria,Gekkonidae,Cnemaspis,Das & Grismer,2003,No,Oriental,Saxicolous,Forest,NA,NA,NA,NA,19.09,Yes,No,Carnivorous,"""foraging"" (Grismer 2011)",Cathemeral,NA,NA,NA,NA,non-fanged,NA,6.5,NA,67.4,62.5,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis bayuensis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Grismer, Grismer, Wood & Chan",2008,No,Oriental,Saxicolous,Forest,NA,NA,NA,NA,18.94,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,2.2,NA,46.1,NA,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unknown
Cnemaspis beddomei,Squamata,Sauria,Gekkonidae,Cnemaspis,Theobald,1876,No,Oriental,Saxicolous,Forest,NA,NA,NA,NA,18.40,No,No,Carnivorous,mainly insects (Srinivasulu etAl. 2014),Diurnal,NA,NA,NA,NA,non-fanged,NA,3.0,NA,51,48.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis bidongensis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Grismer, Wood, Ahmad, Sumarli, Vazquez, Ismail, Nance, Mohd-Amin, Othman, Rizaijessika, Kuss, Murdoch & Cobos",2014,No,Oriental,Arboreal/Saxicolous,Forest,30,50,NA,NA,17.82,Yes,No,NA,NA,Cathemeral,NA,NA,NA,NA,non-fanged,NA,4.3,NA,58.1,57.6,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis biocellata,Squamata,Sauria,Gekkonidae,Cnemaspis,"Grismer, Chan, Nasir & Sumontha",2008,No,Oriental,Arboreal/Saxicolous,Forest/Rocky,0,200,NA,NA,16.08,No,No,NA,NA,Cathemeral,NA,NA,NA,NA,non-fanged,NA,1.5,NA,40.2,38.2,NA,NA,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis boiei,Squamata,Sauria,Gekkonidae,Cnemaspis,Gray,1842,No,Oriental,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.4,NA,38.8,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis boulengeri,Squamata,Sauria,Gekkonidae,Cnemaspis,Strauch,1887,No,Oriental,Arboreal/Saxicolous,Caves/Forest/Rocky/Subterranean,170,380,NA,NA,18.18,Yes,No,NA,NA,Diurnal,NA,NA,AMB,NA,non-fanged,NA,6.9,NA,69,NA,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Near Threatened,Stable
Cnemaspis butewai,Squamata,Sauria,Gekkonidae,Cnemaspis,"Karunarathna, Poyarkov, De Silva, Madawala, Botejue, Gorin, Surasinghe, Gabadage, Ukuwela & Bauer",2019,No,Oriental,Saxicolous,Caves/Forest/Rocky/Subterranean,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Unknown
Cnemaspis calderana,Squamata,Sauria,Gekkonidae,Cnemaspis,Milto & Bezman-Moseyko,2021,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis caudanivea,Squamata,Sauria,Gekkonidae,Cnemaspis,Grismer & Ngo,2007,No,Oriental,Saxicolous,Forest/Rocky,0,310,NA,NA,15.44,Yes,No,NA,NA,Cathemeral,NA,NA,NA,NA,non-fanged,NA,2.4,NA,47.2,NA,NA,NA,NA,oviparous,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Stable
Cnemaspis chanardi,Squamata,Sauria,Gekkonidae,Cnemaspis,"Grismer, Sumontha, Cota, Grismer, Wood, Pauwels & Kunya",2010,No,Oriental,Arboreal/Saxicolous,Forest/Rocky,0,600,NA,NA,18.64,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,1.5,NA,40.1,37.1,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis chanthaburiensis,Squamata,Sauria,Gekkonidae,Cnemaspis,Bauer & Das,1998,No,Oriental,Terrestrial,Forest,0,970,NA,NA,14.34,No,No,NA,NA,Cathemeral,NA,NA,NA,NA,non-fanged,NA,1.8,NA,42.4,35.3,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis chengodumalaensis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Cyriac, Palot, Deuti & Umesh",2020,No,Oriental,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis dezwaani,Squamata,Sauria,Gekkonidae,Cnemaspis,Das,2005,No,Oriental,Arboreal,Forest,50,360,NA,NA,11.14,Yes,No,NA,NA,Nocturnal,NA,NA,NA,NA,non-fanged,NA,0.8,NA,31.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis dissanayakai,Squamata,Sauria,Gekkonidae,Cnemaspis,"Karunarathna, De Silva, Madawala, Karunarathna, Wickramasinghe, Ukuwela & Bauer",2019,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis dringi,Squamata,Sauria,Gekkonidae,Cnemaspis,Das & Bauer,1998,No,Oriental,Saxicolous,Forest,NA,NA,NA,NA,14.21,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,2.3,NA,46.4,NA,NA,NA,NA,oviparous,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis fantastica,Squamata,Sauria,Gekkonidae,Cnemaspis,"Agarwal, Thackeray & Khandekar",2022,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis flavigaster,Squamata,Sauria,Gekkonidae,Cnemaspis,Onn & Grismer,2008,No,Oriental,Saxicolous,Caves/Forest/Rocky/Subterranean,NA,NA,NA,NA,16.73,No,No,NA,NA,Cathemeral,NA,NA,NA,NA,non-fanged,NA,2.8,NA,50.1,46.8,NA,NA,NA,oviparous,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Cnemaspis flavigularis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Pal, Mirza, Dsouza & Shanker",2021,No,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis flaviventralis,Squamata,Sauria,Gekkonidae,Cnemaspis,"Sayyed, Pyron & Dahanukar",2016,No,Oriental,Arboreal/Terrestrial,Forest,730,740,NA,NA,20.71,No,No,NA,NA,Nocturnal,NA,NA,NA,NA,non-fanged,NA,1.2,NA,36.4,34.5,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Endangered,Unknown
Cnemaspis flavolineata,Squamata,Sauria,Gekkonidae,Cnemaspis,Nicholls,1949,No,Oriental,Arboreal/Saxicolous,Forest,600,2200,NA,NA,15.13,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,2.3,NA,46.7,NA,NA,NA,NA,oviparous,NA,2.0,2,2,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Cnemaspis galaxia,Squamata,Sauria,Gekkonidae,Cnemaspis,"Pal, Mirza, Dsouza & Shanker",2021,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis ganeshaiahi,Squamata,Sauria,Gekkonidae,Cnemaspis,"Narayanan, Pal, Grismer & Aravind",2023,No,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Cnemaspis gemunu,Squamata,Sauria,Gekkonidae,Cnemaspis,"Bauer, De Silva, Greenbaum & Jackman",2007,No,Oriental,Arboreal,Caves/Forest/Rocky/Subterranean,1250,1660,NA,NA,16.13,Yes,No,Carnivorous,"Arthropods (e.g., de SilvaAnd Ukuwela 2017)",Diurnal,NA,NA,ACT,NA,non-fanged,NA,1.0,NA,34,33.8,NA,NA,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unknown
Cnemaspis girii,Squamata,Sauria,Gekkonidae,Cnemaspis,"Mirza, Pal, Bhosale & Sanap",2014,No,Oriental,NA,Forest/Rocky,1200,1210,NA,NA,19.96,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.9,NA,33.7,25.6,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Cnemaspis goaensis,Squamata,Sauria,Gekkonidae,Cnemaspis,Sharma,1976,No,Oriental,Arboreal/Saxicolous,Forest,50,100,NA,NA,19.96,No,No,Carnivorous,Insects,Nocturnal,NA,NA,NA,NA,non-fanged,NA,0.7,NA,30,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Unknown
Cnemaspis godagedarai,Squamata,Sauria,Gekkonidae,Cnemaspis,"De Silva, Bauer, Botejue & Karunarathna",2019,No,Oriental,NA,Forest,830,860,NA,NA,15.89,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.1,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Decreasing
Cnemaspis gotaimbarai,Squamata,Sauria,Gekkonidae,Cnemaspis,"Karunarathna, Poyarkov, De Silva, Madawala, Botejue, Gorin, Surasinghe, Gabadage, Ukuwela & Bauer",2019,No,Oriental,Saxicolous,Caves/Forest/Rocky/Subterranean,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Unknown
